"","filename","topic1ToTopic2","topic2ToTopic3"
"1","Doc01.txt",1.11096774193548,2.19546742209632
"2","Doc02.txt",1.17671809256662,3.69430051813471
"3","Doc03.txt",3.17518248175183,1.07874015748032
"4","Doc04.txt",2.66315789473684,1.66666666666667
"5","Doc05.txt",2.80191693290735,1.2880658436214
"6","Doc06.txt",2.04259634888438,2.47738693467337
"7","Doc07.txt",2.98843930635838,2.03529411764706
"8","Doc08.txt",3.63019693654267,1.4789644012945
"9","Doc09.txt",4.07462686567164,1.31372549019608
"10","Doc10.txt",5.03973509933775,1.15267175572519
"11","Doc11.txt",3.22060957910015,2.46953405017921
"12","Doc12.txt",3.31020408163265,1.31016042780749
"13","Doc13.txt",4.38931297709924,3.74285714285714
"14","Doc14.txt",11.8235294117647,1.09174311926605
"15","Doc15.txt",2.76779026217228,1.45901639344262
"16","Doc16.txt",4.49720670391061,1.01129943502825
"17","Doc17.txt",4.24590163934426,1.15094339622642
"18","Doc18.txt",3.70103092783505,1.01393728222997
"19","Doc19.txt",4.86885245901639,1.65679012345679
"20","Doc20.txt",11.1632653061224,1.50306748466258
"21","Doc21.txt",7.83700440528634,1.24043715846995
"22","Doc22.txt",9.69268292682927,1.51851851851852
"23","Doc23.txt",3.69035532994924,1.17964071856287
"24","Doc24.txt",3.13065326633166,1.25157232704403
"25","Doc25.txt",3.01812688821752,1.12203389830508
"26","Doc26.txt",1.98866213151927,1.39116719242902
"27","Doc27.txt",4.21397379912664,1.22459893048128
"28","Doc28.txt",1.37966101694915,2.97979797979798
"29","Doc29.txt",2.79966611018364,1.65013774104683
"30","Doc30.txt",1.01692865779927,1.22156573116691
"31","Doc31.txt",4.01840490797546,1.01242236024845
"32","Doc32.txt",1.27478260869565,2.06093189964158
"33","Doc33.txt",2.49882903981265,1.74285714285714
"34","Doc34.txt",1.87898089171975,1.18045112781955
