"filename","V1","V2","V3","V4","V5","V6","V7","V8"
"Doc01.txt",0.01125,0.03525,0.05225,0.03025,0.11125,0.11425,0.27025,0.37525
"Doc02.txt",0.0185714285714286,0.0448571428571429,0.03,0.0277142857142857,0.201428571428571,0.0505714285714286,0.257428571428571,0.369428571428571
"Doc03.txt",0.0398172323759791,0.0789817232375979,0.133812010443864,0.0319843342036554,0.0607049608355091,0.110313315926893,0.483681462140992,0.0607049608355091
"Doc04.txt",0.0335648148148148,0.144675925925926,0.056712962962963,0.0891203703703704,0.0474537037037037,0.112268518518519,0.450231481481481,0.0659722222222222
"Doc05.txt",0.0226675427069645,0.502299605781866,0.0384362680683311,0.0436925098554534,0.0712877792378449,0.143561103810775,0.133048620236531,0.0450065703022339
"Doc06.txt",0.0184659090909091,0.217329545454545,0.0536931818181818,0.0264204545454545,0.104829545454545,0.0525568181818182,0.220738636363636,0.305965909090909
"Doc07.txt",0.035012285012285,0.403562653562654,0.0374692874692875,0.0399262899262899,0.0644963144963145,0.101351351351351,0.251228501228501,0.066953316953317
"Doc08.txt",0.0154462242562929,0.0490083905415713,0.21605644546148,0.0345156369183829,0.0635011441647597,0.0764683447749809,0.510488176964149,0.0345156369183829
"Doc09.txt",0.016025641025641,0.327662721893491,0.0485700197238659,0.0298323471400394,0.00912228796844181,0.160009861932939,0.321745562130178,0.0870315581854043
"Doc10.txt",0.0469330855018587,0.0692379182156134,0.0525092936802974,0.020910780669145,0.0339219330855019,0.100836431226766,0.625,0.0506505576208178
"Doc11.txt",0.0402148664343786,0.0477642276422764,0.0286004645760743,0.478658536585366,0.0866724738675958,0.242305458768873,0.0129210220673635,0.062862950058072
"Doc12.txt",0.0279390420899855,0.0642235123367199,0.0380986937590711,0.477866473149492,0.0424528301886792,0.174528301886792,0.0888969521044993,0.0859941944847605
"Doc13.txt",0.0844594594594595,0.0222972972972973,0.0331081081081081,0.614189189189189,0.0222972972972973,0.179054054054054,0.0195945945945946,0.025
"Doc14.txt",0.019963144963145,0.0396191646191646,0.0371621621621622,0.716523341523342,0.0408476658476658,0.0813882063882064,0.0297911547911548,0.0347051597051597
"Doc15.txt",0.0599850968703428,0.320789865871833,0.0614754098360656,0.338673621460507,0.0644560357675112,0.0719076005961252,0.00931445603576751,0.073397913561848
"Doc16.txt",0.0267203513909224,0.111639824304539,0.0808931185944363,0.506954612005857,0.0325768667642753,0.10285505124451,0.0208638360175695,0.117496339677892
"Doc17.txt",0.0323529411764706,0.0726890756302521,0.0441176470588235,0.507983193277311,0.0659663865546219,0.146638655462185,0.042436974789916,0.0878151260504202
"Doc18.txt",0.130571428571429,0.0117142857142857,0.538571428571429,0.0482857142857143,0.0391428571428571,0.139714285714286,0.0254285714285714,0.0665714285714286
"Doc19.txt",0.503406954887218,0.0264332706766917,0.0809445488721805,0.0254934210526316,0.0348919172932331,0.299929511278196,0.0099859022556391,0.0189144736842105
"Doc20.txt",0.73408656906429,0.00716104392106938,0.0561744112030554,0.0243475493316359,0.0192552514322088,0.114735837046467,0.0243475493316359,0.0198917886696372
"Doc21.txt",0.660906642728905,0.0298473967684022,0.0720377019748654,0.0316427289048474,0.0298473967684022,0.116921005385996,0.0289497307001795,0.0298473967684022
"Doc22.txt",0.761554621848739,0.00945378151260504,0.0397058823529412,0.0363445378151261,0.0144957983193277,0.100210084033613,0.0170168067226891,0.021218487394958
"Doc23.txt",0.0461335676625659,0.0408611599297012,0.0654657293497364,0.0443760984182777,0.543497363796134,0.116432337434095,0.0724956063268893,0.0707381370826011
"Doc24.txt",0.02197265625,0.07080078125,0.30517578125,0.05908203125,0.25244140625,0.13525390625,0.03369140625,0.12158203125
"Doc25.txt",0.0193222354340071,0.0645065398335315,0.0692627824019025,0.0561831153388823,0.334423305588585,0.164387633769322,0.0359690844233056,0.255945303210464
"Doc26.txt",0.0220677146311971,0.115175332527207,0.0450423216444982,0.0982466747279323,0.291717049576784,0.161124546553809,0.0571342200725514,0.209492140266022
"Doc27.txt",0.0218481375358166,0.0877507163323782,0.0519340974212034,0.0748567335243553,0.486031518624642,0.0963467048710602,0.0318767908309456,0.149355300859599
"Doc28.txt",0.0330626450116009,0.504060324825986,0.0539443155452436,0.0353828306264501,0.165313225058005,0.0910672853828306,0.0655452436194896,0.0516241299303944
"Doc29.txt",0.0239463601532567,0.181800766283525,0.017816091954023,0.0362068965517241,0.497509578544061,0.125095785440613,0.0323754789272031,0.0852490421455939
"Doc30.txt",0.00867908552074513,0.346528365791702,0.182260795935648,0.0611769686706181,0.0967400508044031,0.0594834885690093,0.018839966130398,0.226291278577477
"Doc31.txt",0.0373062015503876,0.114825581395349,0.0721899224806202,0.0528100775193798,0.585755813953488,0.060562015503876,0.0411821705426357,0.0353682170542636
"Doc32.txt",0.011519302615193,0.352739726027397,0.0675591531755915,0.0426525529265255,0.281755915317559,0.101183063511831,0.0264632627646326,0.11612702366127
"Doc33.txt",0.0145486935866983,0.0561163895486936,0.0869952494061758,0.0893705463182898,0.191508313539192,0.127375296912114,0.0632422802850356,0.3708432304038
"Doc34.txt",0.0244774477447745,0.0981848184818482,0.0277777777777778,0.126787678767877,0.0508800880088009,0.126787678767877,0.0508800880088009,0.494224422442244
