"","filename","topic1ToTopic2","topic2ToTopic3"
"1","Doc01.txt",1.38852913968548,2.36542669584245
"2","Doc02.txt",1.43507214206437,1.27801418439716
"3","Doc03.txt",3.61463414634146,1.21301775147929
"4","Doc04.txt",3.112,1.28865979381443
"5","Doc05.txt",3.49885583524027,1.07901234567901
"6","Doc06.txt",1.38610038610039,1.0156862745098
"7","Doc07.txt",1.60635696821516,2.47878787878788
"8","Doc08.txt",2.36275375110327,2.82543640897756
"9","Doc09.txt",1.0183908045977,2.01078582434515
"10","Doc10.txt",6.19815668202765,1.45637583892617
"11","Doc11.txt",1.97543439185141,2.79564489112228
"12","Doc12.txt",2.73804573804574,1.96326530612245
"13","Doc13.txt",3.43018867924528,2.12
"14","Doc14.txt",8.80377358490566,1.99248120300752
"15","Doc15.txt",1.05574912891986,4.37055837563452
"16","Doc16.txt",4.31464174454829,1.05245901639344
"17","Doc17.txt",3.46418338108882,1.66985645933014
"18","Doc18.txt",3.85480572597137,1.07002188183807
"19","Doc19.txt",1.67841754798277,3.70537010159652
"20","Doc20.txt",6.39805825242718,2.04249291784703
"21","Doc21.txt",5.65259117082534,1.62305295950156
"22","Doc22.txt",7.59958071278826,2.52380952380952
"23","Doc23.txt",4.66792452830189,1.60606060606061
"24","Doc24.txt",1.20889748549323,1.86642599277978
"25","Doc25.txt",1.30662020905923,1.55696202531646
"26","Doc26.txt",1.39249639249639,1.30018761726079
"27","Doc27.txt",3.25419664268585,1.55018587360595
"28","Doc28.txt",3.04912280701754,1.81528662420382
"29","Doc29.txt",2.73656480505796,1.45329249617152
"30","Doc30.txt",1.53133769878391,1.24157955865273
"31","Doc31.txt",5.10126582278481,1.59060402684564
"32","Doc32.txt",1.25193370165746,2.42627345844504
"33","Doc33.txt",1.93643410852713,1.5034965034965
"34","Doc34.txt",3.89804772234273,1
