userid,start,end,slp.quality,time.in.bed,day,go.to.bed,wake.up,night.sleep,WeekDay
1,2018-04-24T11:30:00Z,2018-04-24T19:25:00Z,0.9,475,2018-04-25,21,5,TRUE,Wednesday
1,2018-04-25T11:58:00Z,2018-04-25T20:47:00Z,0.95,529,2018-04-26,21,6,TRUE,Thursday
1,2018-04-26T12:33:00Z,2018-04-26T19:56:00Z,0.83,442,2018-04-27,22,5,TRUE,Friday
1,2018-04-27T11:35:00Z,2018-04-27T20:53:00Z,1,558,2018-04-28,21,6,TRUE,Saturday
1,2018-04-28T10:33:00Z,2018-04-28T21:21:00Z,0.83,648,2018-04-29,20,7,TRUE,Sunday
1,2018-04-29T12:23:00Z,2018-04-29T20:25:00Z,0.82,482,2018-04-30,22,6,TRUE,Monday
2,2018-04-01T14:29:06Z,2018-04-01T22:31:36Z,0.34,482,2018-04-02,0,8,TRUE,Monday
2,2018-04-02T14:54:17Z,2018-04-02T22:15:40Z,0.72,441,2018-04-03,0,8,TRUE,Tuesday
2,2018-04-03T15:44:46Z,2018-04-03T22:32:14Z,0.68,407,2018-04-04,1,8,TRUE,Wednesday
2,2018-04-04T15:22:15Z,2018-04-04T21:36:59Z,0.73,374,2018-04-05,1,7,TRUE,Thursday
2,2018-04-05T16:17:05Z,2018-04-05T22:20:08Z,0.7,363,2018-04-06,2,8,TRUE,Friday
2,2018-04-06T15:41:08Z,2018-04-06T23:41:14Z,0.89,480,2018-04-07,1,9,TRUE,Saturday
2,2018-04-07T15:39:00Z,2018-04-07T23:45:31Z,0.84,486,2018-04-08,1,9,TRUE,Sunday
2,2018-04-08T15:00:32Z,2018-04-08T22:15:19Z,0.85,434,2018-04-09,1,8,TRUE,Monday
2,2018-04-09T15:16:30Z,2018-04-09T22:38:14Z,0.31,441,2018-04-10,1,8,TRUE,Tuesday
2,2018-04-10T15:36:35Z,2018-04-10T21:54:56Z,0.68,378,2018-04-11,1,7,TRUE,Wednesday
2,2018-04-11T15:02:52Z,2018-04-11T20:55:45Z,0.6,352,2018-04-12,1,6,TRUE,Thursday
2,2018-04-12T14:55:16Z,2018-04-12T21:30:40Z,0.72,395,2018-04-13,0,7,TRUE,Friday
2,2018-04-13T14:59:26Z,2018-04-13T22:57:45Z,0.82,478,2018-04-14,0,8,TRUE,Saturday
2,2018-04-14T15:08:49Z,2018-04-14T23:00:34Z,0.85,471,2018-04-15,1,9,TRUE,Sunday
2,2018-04-15T14:38:35Z,2018-04-15T21:49:07Z,0.76,430,2018-04-16,0,7,TRUE,Monday
2,2018-04-16T14:55:09Z,2018-04-16T21:43:05Z,0.72,407,2018-04-17,0,7,TRUE,Tuesday
2,2018-04-17T16:08:36Z,2018-04-17T22:15:36Z,0.66,367,2018-04-18,2,8,TRUE,Wednesday
2,2018-04-18T14:45:58Z,2018-04-18T22:15:32Z,0.81,449,2018-04-19,0,8,TRUE,Thursday
2,2018-04-19T14:16:53Z,2018-04-19T22:30:14Z,0.87,493,2018-04-20,0,8,TRUE,Friday
2,2018-04-20T14:22:53Z,2018-04-20T23:31:10Z,0.93,548,2018-04-21,0,9,TRUE,Saturday
2,2018-04-21T14:56:23Z,2018-04-21T22:59:39Z,0.87,483,2018-04-22,0,8,TRUE,Sunday
2,2018-04-22T14:51:01Z,2018-04-22T22:20:58Z,0.75,449,2018-04-23,0,8,TRUE,Monday
2,2018-04-23T14:51:31Z,2018-04-23T22:01:09Z,0.75,429,2018-04-24,0,8,TRUE,Tuesday
2,2018-04-24T16:14:29Z,2018-04-24T21:59:16Z,0.61,344,2018-04-25,2,7,TRUE,Wednesday
2,2018-04-25T14:40:41Z,2018-04-25T22:08:06Z,0.77,447,2018-04-26,0,8,TRUE,Thursday
2,2018-04-26T14:30:20Z,2018-04-26T21:56:40Z,0.8,446,2018-04-27,0,7,TRUE,Friday
2,2018-04-27T17:36:27Z,2018-04-27T23:29:08Z,0.61,352,2018-04-28,3,9,TRUE,Saturday
2,2018-04-28T15:02:08Z,2018-04-28T23:04:38Z,0.76,482,2018-04-29,1,9,TRUE,Sunday
2,2018-04-29T15:07:06Z,2018-04-29T21:37:28Z,0.7,392,2018-04-30,1,7,TRUE,Monday
3,2018-04-01T12:24:00Z,2018-04-01T19:46:00Z,0.75,441,2018-04-02,22,5,TRUE,Monday
