userid,date,slp.start,slp.end,slp.quality,time.in.bed,go.to.bed,wake.up,weekday,sentiment.score,mood.score,mood,temp.high,temp.low,humidity.high,precip.sum,weather.event
2,2018-04-14,2018-04-13T14:59:26Z,2018-04-13T22:57:45Z,0.82,478,0,8,Saturday,0.875542,4,good,31,23,50,0,Rain
2,2018-04-15,2018-04-14T15:08:49Z,2018-04-14T23:00:34Z,0.85,471,1,9,Sunday,0.5,4,good,25,18,49,0,NA
2,2018-04-16,2018-04-15T14:38:35Z,2018-04-15T21:49:07Z,0.76,430,0,7,Monday,0.058239,3,meh,31,18,56,0,NA
2,2018-04-17,2018-04-16T14:55:09Z,2018-04-16T21:43:05Z,0.72,407,0,7,Tuesday,0.773807,4,good,21,18,88,0,Rain
2,2018-04-18,2018-04-17T16:08:36Z,2018-04-17T22:15:36Z,0.66,367,2,8,Wednesday,0.027147,2,bad,22,18,68,0,NA
2,2018-04-19,2018-04-18T14:45:58Z,2018-04-18T22:15:32Z,0.81,449,0,8,Thursday,0.133332,2,bad,27,15,77,0,NA
2,2018-04-20,2018-04-19T14:16:53Z,2018-04-19T22:30:14Z,0.87,493,0,8,Friday,0.847912,4,good,22,16,94,0,NA
2,2018-04-21,2018-04-20T14:22:53Z,2018-04-20T23:31:10Z,0.93,548,0,9,Saturday,0.753245,3,meh,22,17,94,0,NA
2,2018-04-22,2018-04-21T14:56:23Z,2018-04-21T22:59:39Z,0.87,483,0,8,Sunday,0.849276,4,good,23,15,88,0,NA
2,2018-04-23,2018-04-22T14:51:01Z,2018-04-22T22:20:58Z,0.75,449,0,8,Monday,0.108272,2,bad,24,15,88,0,NA
2,2018-04-24,2018-04-23T14:51:31Z,2018-04-23T22:01:09Z,0.75,429,0,8,Tuesday,0.199184,4,good,23,16,88,0,NA
2,2018-04-25,2018-04-24T16:14:29Z,2018-04-24T21:59:16Z,0.61,344,2,7,Wednesday,0.206181,4,good,23,14,94,0,NA
2,2018-04-26,2018-04-25T14:40:41Z,2018-04-25T22:08:06Z,0.77,447,0,8,Thursday,0.006915,1,awful,22,17,94,0,NA
2,2018-04-27,2018-04-26T14:30:20Z,2018-04-26T21:56:40Z,0.8,446,0,7,Friday,0.11344,2,bad,20,16,90,4.06,Rain
2,2018-04-28,2018-04-27T17:36:27Z,2018-04-27T23:29:08Z,0.61,352,3,9,Saturday,0.163974,3,meh,19,14,100,0.51,Rain
2,2018-04-29,2018-04-28T15:02:08Z,2018-04-28T23:04:38Z,0.76,482,1,9,Sunday,0.920618,3,meh,20,13,94,10.92,"Rain , Thunderstorm"
2,2018-04-30,2018-04-29T15:07:06Z,2018-04-29T21:37:28Z,0.7,392,1,7,Monday,NA,NA,NA,19,12,94,0,Rain
3,2018-04-02,2018-04-01T12:24:00Z,2018-04-01T19:46:00Z,0.75,441,22,5,Monday,0.275353,3,meh,32,20,94,3.05,"Rain , Thunderstorm"
3,2018-04-03,2018-04-02T12:57:00Z,2018-04-02T20:07:00Z,0.73,430,22,6,Tuesday,0.23375,3,meh,24,20,83,0.25,NA
3,2018-04-04,2018-04-03T13:06:00Z,2018-04-03T20:01:00Z,0.88,414,23,6,Wednesday,0.07982,3,meh,25,20,88,0,NA
3,2018-04-05,2018-04-04T14:31:00Z,2018-04-04T20:05:00Z,0.62,333,0,6,Thursday,0.215021,3,meh,28,18,88,0,NA
3,2018-04-06,2018-04-05T13:24:00Z,2018-04-05T20:05:00Z,0.59,401,23,6,Friday,0.210886,4,good,25,19,94,0,NA
3,2018-04-07,2018-04-06T12:08:00Z,2018-04-06T20:18:00Z,0.8,489,22,6,Saturday,0.762869,4,good,28,19,88,0,NA
3,2018-04-08,2018-04-07T12:57:00Z,2018-04-07T21:05:00Z,0.89,487,22,7,Sunday,0.111211,2,bad,27,19,94,0,NA
3,2018-04-09,2018-04-08T12:38:00Z,2018-04-08T20:03:00Z,0.57,444,22,6,Monday,0.224034,3,meh,36,19,88,0,NA
3,2018-04-10,2018-04-09T12:27:00Z,2018-04-09T20:00:00Z,0.79,453,22,6,Tuesday,0.10613,3,meh,24,19,78,0,Rain
3,2018-04-11,2018-04-10T14:08:00Z,2018-04-10T20:02:00Z,0.46,354,0,6,Wednesday,0.743742,4,good,28,20,78,0,NA
3,2018-04-12,2018-04-11T13:41:00Z,2018-04-11T20:02:00Z,0.72,381,23,6,Thursday,0.944816,4,good,35,19,88,0,NA
3,2018-04-13,2018-04-12T13:21:00Z,2018-04-12T20:00:00Z,0.7,399,23,6,Friday,0.70275,4,good,34,23,41,0,NA
3,2018-04-14,2018-04-13T11:20:00Z,2018-04-13T20:24:00Z,0.82,544,21,6,Saturday,0.5,3,meh,31,23,50,0,Rain
3,2018-04-15,2018-04-14T12:56:00Z,2018-04-14T20:36:00Z,0.6,460,22,6,Sunday,0.865062,3,meh,25,18,49,0,NA
3,2018-04-16,2018-04-15T13:02:00Z,2018-04-15T20:03:00Z,0.72,421,23,6,Monday,0.5,3,meh,31,18,56,0,NA
3,2018-04-17,2018-04-16T11:54:00Z,2018-04-16T19:48:00Z,0.74,474,21,5,Tuesday,0.03365,2,bad,21,18,88,0,Rain
3,2018-04-18,2018-04-17T12:13:00Z,2018-04-17T20:01:00Z,0.93,468,22,6,Wednesday,0.096696,3,meh,22,18,68,0,NA
