userid,date,N,sentiment.score,mood.mean,mood.rounded,mood
5,2018-04-28,1,0.940092,4,4,good
5,2018-04-29,1,0.971939,4,4,good
6,2018-03-27,1,0.989576,4,4,good
6,2018-03-28,2,0.40618550000000003,2.5,2,bad
6,2018-03-29,3,0.8343376666666668,3.6666666666666665,4,good
6,2018-03-30,1,0.753245,4,4,good
6,2018-03-31,1,0.753245,4,4,good
6,2018-04-01,1,0.5,4,4,good
6,2018-04-02,3,0.8094266666666666,3.3333333333333335,3,meh
6,2018-04-03,1,0.753245,4,4,good
6,2018-04-04,1,0.753245,4,4,good
6,2018-04-05,2,0.753245,4,4,good
6,2018-04-06,2,0.3961525,3,3,meh
6,2018-04-07,1,0.753245,4,4,good
6,2018-04-08,1,0.5,5,5,rad
6,2018-04-09,1,0.753245,4,4,good
6,2018-04-10,1,0.874679,5,5,rad
6,2018-04-11,1,0.753245,4,4,good
6,2018-04-12,1,0.753245,3,3,meh
6,2018-04-13,1,0.927311,5,5,rad
6,2018-04-14,1,0.113265,2,2,bad
6,2018-04-15,2,0.7132885,4.5,4,good
6,2018-04-16,1,0.5,1,1,awful
6,2018-04-17,1,0.988798,5,5,rad
6,2018-04-18,1,0.753245,3,3,meh
6,2018-04-19,1,0.243737,5,5,rad
6,2018-04-20,1,0.753245,3,3,meh
6,2018-04-21,1,0.753245,4,4,good
6,2018-04-22,1,0.940855,4,4,good
6,2018-04-23,1,0.753245,3,3,meh
6,2018-04-24,1,0.753245,3,3,meh
6,2018-04-25,1,0.753245,4,4,good
6,2018-04-26,1,0.019801,3,3,meh
6,2018-04-27,1,0.753245,4,4,good
6,2018-04-28,1,0.940855,4,4,good
6,2018-04-29,1,0.753245,5,5,rad
6,2018-04-30,1,0.753245,3,3,meh
