"","filename","topic1ToTopic2","topic2ToTopic3"
"1","Doc01.txt",1.93421052631579,1.05555555555556
"2","Doc02.txt",1.30175438596491,1.78125
"3","Doc03.txt",1.14179104477612,3.35
"4","Doc04.txt",2.85365853658537,1.64
"5","Doc05.txt",4.14814814814815,1.2
"6","Doc06.txt",4.01470588235294,1.12396694214876
"7","Doc07.txt",3.37662337662338,2.40625
"8","Doc08.txt",1.96739130434783,3.25663716814159
"9","Doc09.txt",5.36290322580645,1.00813008130081
"10","Doc10.txt",2.12676056338028,3.46341463414634
"11","Doc11.txt",3.69516728624535,1.30582524271845
"12","Doc12.txt",3.20909090909091,1.0377358490566
"13","Doc13.txt",6.19148936170213,2.76470588235294
"14","Doc14.txt",9.57746478873239,1.44897959183673
"15","Doc15.txt",2.70491803278689,1.29787234042553
"16","Doc16.txt",3.13274336283186,1.48684210526316
"17","Doc17.txt",4.93506493506494,1.22222222222222
"18","Doc18.txt",2.96132596685083,1.90526315789474
"19","Doc19.txt",5.84586466165413,1.06827309236948
"20","Doc20.txt",8.16455696202532,1.85882352941176
"21","Doc21.txt",5.30519480519481,1.925
"22","Doc22.txt",10.4623655913978,1.14814814814815
"23","Doc23.txt",4.26923076923077,1.09859154929577
"24","Doc24.txt",3.26436781609195,1.26086956521739
"25","Doc25.txt",2.53896103896104,1.07692307692308
"26","Doc26.txt",2.23456790123457,1.08724832214765
"27","Doc27.txt",3.65254237288136,1.34090909090909
"28","Doc28.txt",1.71818181818182,1.59420289855072
"29","Doc29.txt",2.78947368421053,1.97916666666667
"30","Doc30.txt",1.15243902439024,1.22388059701493
"31","Doc31.txt",3.80246913580247,1.5
"32","Doc32.txt",1.36734693877551,2.02479338842975
"33","Doc33.txt",2.17676767676768,1.3112582781457
"34","Doc34.txt",2.52406417112299,1.48412698412698
