ID - NEEDS TO BE UPDATED,User,year,date,weekday,time,mood,activities,note,KeyPhrase,sentimentScore,KeyPhrase Delimited,,,,,,
94,6,2018,30-Mar,Friday,20:00,good,Study,,,0.753245,,,,,,,
95,6,2018,29-Mar,Thursday,23:06,good,work,Winning is good,,0.996523,,,,,,,
96,6,2018,29-Mar,Thursday,20:00,meh,relax,,,0.753245,,,,,,,
97,6,2018,29-Mar,Thursday,07:58,good,drinking coffee,,,0.753245,,,,,,,
98,6,2018,28-Mar,Wednesday,17:45,bad,Study,Remembered how much studies I have to do,studies,0.059126,studies,,,,,,
99,6,2018,28-Mar,Wednesday,08:13,meh,,,,0.753245,,,,,,,
100,6,2018,27-Mar,Tuesday,23:07,good,Study,Good to meet the team today,team,0.989576,team,,,,,,
101,3,2018,9-April,Monday,21:08,meh,work | sport,Average day at work. A swim in the afternoon.,Average day work,0.224034,Average day | work,,,,,,
102,3,2018,10-April,Tuesday,20:34,meh,work | study,Not so good day at work followed by evening at uni.,work evening,0.10613,work | evening,,,,,,
103,3,2018,11-April,Wednesday,20:16,good,work | study,Fulham are up to second. Saw kids for bedtime.,kids bedtime,0.743742,kids | bedtime,,,,,,
104,3,2018,12-April,Thursday,20:42,good,work | sport | study,Went for a swim after lunch which felt good. Finished off AT1.,swim lunch AT1,0.944816,swim | lunch | AT1,,,,,,
105,3,2018,13-April,Friday,21:07,good,work | family,Walked James to school and lunch in the sun.,James school,0.70275,James | school,,,,,,
106,3,2018,14-April,Saturday,21:40,meh,family,"Looking at houses in the morning, change car oil and maintenance in the afternoon.",car oil morning maintenance,0.5,car oil | morning | maintenance,,,,,,
107,3,2018,15-April,Sunday,21:48,meh,family | study,Breakfast with the family followed by a study day.,family study day,0.865062,family | study day,,,,,,
108,3,2018,16-April,Monday,21:22,meh,work | sport,Busy day in the office but OK. A swim in the afternoon. Feeling tired.,Busy day office swim,0.5,Busy day | office | swim,,,,,,
109,3,2018,17-April,Tuesday,21:32,bad,work | study,I have an ear ache.,ear ache,0.03365,ear ache,,,,,,
110,3,2018,18-April,Wednesday,22:08,meh,,Day off work sick.,Day,0.096696,Day,,,,,,
111,3,2018,19-April,Thursday,20:08,meh,work,Longish day in the office. Had afternoon tea with kids,Longish day office,0.186133,Longish day | office,,,,,,
112,3,2018,20-April,Friday,20:00,meh,work | study,Feeling OK. Average day at work. Spent evening putting together a technical presentation,Average day work evening,0.18959,Average day | work | evening,,,,,,
113,3,2018,21-April,Saturday,22:33,good,relax | family,Day with family at local park and then down to the beach,local park Day,0.5,local park | Day,,,,,,
114,3,2018,22-April,Sunday,20:26,meh,study,Spent most of the day at the library,day library,0.744376,day | library,,,,,,
115,3,2018,23-April,Monday,20:41,bad,work,Not a good nights sleep and a long day in the office,long day good nights sleep,0.056059,long day | good nights sleep,,,,,,
116,3,2018,24-April,Tuesday,20:00,bad,work,Long stressful day in the office,stressful day,0.093883,stressful day,,,,,,
117,6,2018,26-Apr,Thursday,20:00,meh,Study,Working late today!,,0.019801,,,,,,,
118,6,2018,25-Apr,Wednesday,20:00,good,relax,,,0.753245,,,,,,,
119,6,2018,24-Apr,Tuesday,20:00,meh,relax,,,0.753245,,,,,,,
120,6,2018,23-Apr,Monday,20:00,meh,work,,,0.753245,,,,,,,
121,6,2018,22-Apr,Sunday,20:00,good,friends,Dinner with friends,Dinner,0.940855,Dinner,,,,,,
122,6,2018,21-Apr,Saturday,20:00,good,relax,,,0.753245,,,,,,,
123,6,2018,20-Apr,Friday,20:00,meh,,,,0.753245,,,,,,,
124,6,2018,19-Apr,Thursday,20:00,rad,Study,Coding for my DAM assignment,Coding,0.243737,Coding,,,,,,
125,6,2018,18-Apr,Wednesday,08:57,meh,drinking coffee,,,0.753245,,,,,,,
126,6,2018,17-Apr,Tuesday,20:00,rad,Study,DSI is always fun!!!,DSI,0.988798,DSI,,,,,,
127,6,2018,16-Apr,Monday,20:00,awful,Study,DAM assignment due on Thursday and I haven't started yet,DAM assignment,0.5,DAM assignment,,,,,,
128,6,2018,15-Apr,Sunday,20:00,rad,Study,Just completed and submitted my AT1 assignment. What a relief!!,AT1 assignment relief,0.5,AT1 assignment | relief,,,,,,
129,6,2018,15-Apr,Sunday,17:33,good,Study,Finished my final draft and proof reading it now,final draft proof,0.926577,final draft | proof,,,,,,
130,6,2018,14-Apr,Saturday,20:00,bad,Study,Behind on the assignment,assignment,0.113265,assignment,,,,,,
131,6,2018,13-Apr,Friday,20:00,rad,relax,Thank god it's Friday,god,0.927311,god,,,,,,
132,6,2018,12-Apr,Thursday,20:00,meh,work,,,0.753245,,,,,,,
133,6,2018,11-Apr,Wednesday,20:00,good,relax,,,0.753245,,,,,,,
134,6,2018,10-Apr,Tuesday,20:00,rad,Study,Data mystery box was cool,Data mystery box,0.874679,Data mystery box,,,,,,
135,2,2018,29-Apr,Sunday,18:38,meh,study,Playing around with Tableau,Tableau,0.920618,Tableau,,,,,,
136,2,2018,28-Apr,Saturday,18:00,meh,,Hangover,Hangover,0.163974,Hangover,,,,,,
