"filename","V1","V2","V3","V4","V5","V6","V7"
"Doc01.txt",0.335045276388701,0.254629003919449,0.103257196918502,0.0682524665495337,0.0313555885930531,0.0824435734558724,0.125016894174888
"Doc02.txt",0.351359799937481,0.241950609565489,0.0800250078149422,0.0384495154735855,0.0100031259768678,0.0920600187558612,0.186151922475774
"Doc03.txt",0.235804701627486,0.091500904159132,0.106690777576854,0.0560578661844485,0.0585895117540687,0.385171790235081,0.0661844484629295
"Doc04.txt",0.469387755102041,0.116709183673469,0.0943877551020408,0.0720663265306122,0.0676020408163265,0.112244897959184,0.0676020408163265
"Doc05.txt",0.453672942045035,0.0764119601328904,0.190107050572167,0.0441122185308232,0.0415282392026578,0.0686600221483942,0.125507567368032
"Doc06.txt",0.488401855703088,0.142377219644857,0.1065429531275,0.0449528075507919,0.0124780035194369,0.0583906574948008,0.146856502959526
"Doc07.txt",0.578167115902965,0.0592991913746631,0.127695417789757,0.0286388140161725,0.0592991913746631,0.0569407008086253,0.0899595687331537
"Doc08.txt",0.215444584913611,0.0775389801938474,0.157184997892963,0.033291192583228,0.0207543194268858,0.456595027391488,0.0391908975979772
"Doc09.txt",0.525692244110759,0.0657115305138449,0.178536988565918,0.0657115305138449,0.0203884832621573,0.0840336134453781,0.0599256095880975
"Doc10.txt",0.199538343164914,0.109771736342652,0.0738650936137471,0.0235957937932803,0.0541164401128494,0.504744806360605,0.0343677866119518
"Doc11.txt",0.035048285048285,0.0892440892440892,0.288544788544789,0.39052614052614,0.0455377955377955,0.0373792873792874,0.113719613719614
"Doc12.txt",0.0774677217825906,0.119741774260725,0.138692211578509,0.457934194085798,0.051228654727197,0.0832986255726781,0.0716368179925031
"Doc13.txt",0.0236861584011843,0.0288675055514434,0.0962250185048113,0.725758697261288,0.0625462620281273,0.036639526276832,0.0262768319763138
"Doc14.txt",0.0437418086500655,0.0380078636959371,0.0655307994757536,0.752457404980341,0.03456749672346,0.0230996068152031,0.0425950196592398
"Doc15.txt",0.0360341151385927,0.0509594882729211,0.174840085287846,0.259914712153518,0.101705756929638,0.0300639658848614,0.346481876332623
"Doc16.txt",0.0496894409937888,0.11415720711073,0.177125722852859,0.484472049689441,0.0406939387449133,0.0691796958663525,0.0646819447419148
"Doc17.txt",0.0664713835060838,0.0696259576385759,0.175304191077062,0.511266336187472,0.0538530869761154,0.0743578188373141,0.0491212257773772
"Doc18.txt",0.0165676773991872,0.0854954673335417,0.117224132541419,0.0745545482963426,0.142388246326977,0.542825883088465,0.0209440450140669
"Doc19.txt",0.0149095446038677,0.0175296319401123,0.279975046787274,0.038927011852776,0.564691203992514,0.0402370555208983,0.0437305053025577
"Doc20.txt",0.018503902481803,0.0246426379023064,0.0780496360606858,0.0553363150048233,0.729983337718144,0.0798912566868368,0.0135929141454003
"Doc21.txt",0.0315304390007276,0.0408682997817124,0.116420082464225,0.0408682997817124,0.668202764976959,0.0637885035168567,0.0383216104778074
"Doc22.txt",0.0150813442584016,0.0250564066025413,0.0849067806673792,0.0533190832442703,0.759054744092151,0.0516565728535803,0.0109250682816768
"Doc23.txt",0.0542953667953668,0.104971042471042,0.138754826254826,0.0880791505791506,0.0728764478764479,0.0492277992277992,0.491795366795367
"Doc24.txt",0.12573568753344,0.101391118245051,0.329855537720706,0.0564472980203317,0.0264847512038523,0.0620652755484216,0.298020331728197
"Doc25.txt",0.0834964122635355,0.347195042400522,0.128016960208741,0.0663731245923027,0.0401174168297456,0.0424005218525767,0.292400521852577
"Doc26.txt",0.12758004225581,0.270924752153421,0.132130667966845,0.128717698683569,0.0547700308792459,0.105964570128393,0.179912237932716
"Doc27.txt",0.048206937095826,0.553008034489516,0.144228884969626,0.0523221634332745,0.0180286106212032,0.0468351949833431,0.137370174407211
"Doc28.txt",0.197187599872164,0.0808565036752956,0.0965164589325663,0.0607222754873762,0.0405880472994567,0.0987535953978907,0.425375519335251
"Doc29.txt",0.0919245747079319,0.116314818610371,0.12277105964337,0.0488829678212748,0.0331010452961673,0.031666325066612,0.555339208854273
"Doc30.txt",0.208853444290338,0.0858760980120203,0.168400369856681,0.060795191863153,0.0195330559408229,0.124711049468331,0.331830790568655
"Doc31.txt",0.0695559122525415,0.0620652755484216,0.0639379347244516,0.0545746388443018,0.0583199571963617,0.0864098448368111,0.605136436597111
"Doc32.txt",0.189742721733243,0.137610020311442,0.134055517941774,0.0523019634394042,0.0428232904536222,0.0605958023019634,0.382870683818551
"Doc33.txt",0.0459573142233993,0.520330269512385,0.171366256426235,0.0546814145505531,0.0230565508646207,0.0699485901230721,0.114659604299735
"Doc34.txt",0.0760886172650879,0.473949579831933,0.161650114591291,0.118869365928189,0.0258212375859435,0.052559205500382,0.0910618792971734
