"","filename","topic1ToTopic2","topic2ToTopic3"
"1","Doc01.txt",1.29822926374651,1.51339915373766
"2","Doc02.txt",1.44026845637584,1.03328710124827
"3","Doc03.txt",2.43589743589744,1.23529411764706
"4","Doc04.txt",2.15976331360947,1.81720430107527
"5","Doc05.txt",5.95681063122924,1.31441048034935
"6","Doc06.txt",1.05707491082045,1.01447527141134
"7","Doc07.txt",2.13165266106443,2.76744186046512
"8","Doc08.txt",2.52021563342318,3.15297450424929
"9","Doc09.txt",1.66602870813397,2.50599520383693
"10","Doc10.txt",5.32067510548523,1.09216589861751
"11","Doc11.txt",2.82535211267606,1.08562691131498
"12","Doc12.txt",2.64551422319475,1.96137339055794
"13","Doc13.txt",10.7142857142857,1.08247422680412
"14","Doc14.txt",13.952380952381,1.46511627906977
"15","Doc15.txt",1.87712665406427,1.83044982698962
"16","Doc16.txt",1.76006441223833,2.11945392491468
"17","Doc17.txt",5.21789883268483,1.12227074235808
"18","Doc18.txt",5.08314087759815,1.60966542750929
"19","Doc19.txt",3.33685518955873,2.93078324225865
"20","Doc20.txt",8.79174147217235,1.33573141486811
"21","Doc21.txt",5.47863247863248,2.96954314720812
"22","Doc22.txt",9.92140921409214,1.24242424242424
"23","Doc23.txt",2.59773371104816,1.44081632653061
"24","Doc24.txt",1.43418013856813,1.22662889518414
"25","Doc25.txt",1.79788639365918,1.78117647058824
"26","Doc26.txt",2.65199161425577,1.13301662707838
"27","Doc27.txt",2.94059405940594,1.79715302491103
"28","Doc28.txt",1.92695214105793,2.66442953020134
"29","Doc29.txt",2.14863813229572,2.64948453608247
"30","Doc30.txt",2.54959159859977,1.20196353436185
"31","Doc31.txt",3.22769230769231,1.30522088353414
"32","Doc32.txt",1.11009174311927,2.10967741935484
"33","Doc33.txt",2.59244264507422,3.29333333333333
"34","Doc34.txt",4.98004987531172,1.01007556675063
