"filename","V1","V2","V3","V4","V5"
"Doc01.txt",0.417218543046358,0.123935666982025,0.0387890255439924,0.215704824976348,0.204351939451277
"Doc02.txt",0.405908096280088,0.0831509846827133,0.0240700218818381,0.175054704595186,0.311816192560175
"Doc03.txt",0.339240506329114,0.0810126582278481,0.0911392405063291,0.387341772151899,0.10126582278481
"Doc04.txt",0.522321428571429,0.111607142857143,0.0714285714285714,0.183035714285714,0.111607142857143
"Doc05.txt",0.578811369509044,0.0904392764857881,0.0749354005167959,0.116279069767442,0.13953488372093
"Doc06.txt",0.611422172452408,0.070548712206047,0.0302351623740202,0.135498320268757,0.152295632698768
"Doc07.txt",0.613207547169811,0.0542452830188679,0.0754716981132075,0.0754716981132075,0.181603773584906
"Doc08.txt",0.271386430678466,0.0508849557522124,0.0604719764011799,0.533923303834808,0.0833333333333333
"Doc09.txt",0.641272902603664,0.118611378977821,0.0491803278688525,0.119575699132112,0.0713596914175506
"Doc10.txt",0.254937163375224,0.0556552962298025,0.0736086175942549,0.542190305206463,0.0736086175942549
"Doc11.txt",0.0582750582750583,0.579254079254079,0.0856643356643357,0.12004662004662,0.156759906759907
"Doc12.txt",0.154518950437318,0.514577259475219,0.065597667638484,0.160349854227405,0.104956268221574
"Doc13.txt",0.0440414507772021,0.753886010362694,0.121761658031088,0.0414507772020725,0.038860103626943
"Doc14.txt",0.0561926605504587,0.779816513761468,0.0814220183486239,0.0424311926605505,0.0401376146788991
"Doc15.txt",0.108955223880597,0.492537313432836,0.140298507462687,0.0761194029850746,0.182089552238806
"Doc16.txt",0.113943028485757,0.530734632683658,0.0869565217391304,0.169415292353823,0.0989505247376312
"Doc17.txt",0.083596214511041,0.599369085173502,0.0993690851735016,0.121451104100946,0.0962145110410095
"Doc18.txt",0.0415754923413567,0.103938730853392,0.198030634573304,0.586433260393873,0.0700218818380744
"Doc19.txt",0.0266375545851528,0.108733624454148,0.679039301310044,0.116157205240175,0.0694323144104804
"Doc20.txt",0.0196439533456108,0.0392879066912216,0.791896869244936,0.0969920196439533,0.0521792510742787
"Doc21.txt",0.0449915110356537,0.0628183361629881,0.693548387096774,0.130730050933786,0.067911714770798
"Doc22.txt",0.0232751454696592,0.0673316708229426,0.808811305070657,0.0773067331670823,0.0232751454696592
"Doc23.txt",0.0878378378378378,0.119932432432432,0.097972972972973,0.131756756756757,0.5625
"Doc24.txt",0.129213483146067,0.101123595505618,0.0749063670411985,0.162921348314607,0.531835205992509
"Doc25.txt",0.175799086757991,0.138127853881279,0.0764840182648402,0.16324200913242,0.44634703196347
"Doc26.txt",0.147895335608646,0.184300341296928,0.0864618885096701,0.169510807736064,0.411831626848692
"Doc27.txt",0.0946502057613169,0.120713305898491,0.0315500685871056,0.161865569272977,0.59122085048011
"Doc28.txt",0.246085011185682,0.0917225950782998,0.0850111856823266,0.154362416107383,0.422818791946309
"Doc29.txt",0.204447632711621,0.103299856527977,0.039454806312769,0.0824964131994261,0.570301291248207
"Doc30.txt",0.305825242718447,0.26537216828479,0.0186084142394822,0.216828478964401,0.19336569579288
"Doc31.txt",0.151685393258427,0.0955056179775281,0.101123595505618,0.0749063670411985,0.576779026217228
"Doc32.txt",0.290284360189573,0.143364928909953,0.0450236966824645,0.124407582938389,0.396919431279621
"Doc33.txt",0.117775354416576,0.164667393675027,0.0316248636859324,0.470010905125409,0.215921483097056
"Doc34.txt",0.504812834224599,0.2,0.0588235294117647,0.101604278074866,0.13475935828877
