"cluster","filename"
1,"Doc01.txt"
1,"Doc02.txt"
2,"Doc03.txt"
2,"Doc04.txt"
3,"Doc05.txt"
1,"Doc06.txt"
2,"Doc07.txt"
1,"Doc08.txt"
1,"Doc09.txt"
2,"Doc10.txt"
2,"Doc11.txt"
2,"Doc12.txt"
2,"Doc13.txt"
2,"Doc14.txt"
2,"Doc15.txt"
2,"Doc16.txt"
2,"Doc17.txt"
2,"Doc18.txt"
4,"Doc19.txt"
4,"Doc20.txt"
4,"Doc21.txt"
4,"Doc22.txt"
2,"Doc23.txt"
2,"Doc24.txt"
2,"Doc25.txt"
2,"Doc26.txt"
2,"Doc27.txt"
2,"Doc28.txt"
3,"Doc29.txt"
2,"Doc30.txt"
2,"Doc31.txt"
3,"Doc32.txt"
2,"Doc33.txt"
2,"Doc34.txt"
