date,industry,location,monthly_mean,year,month,monthn,m3,m6
2013-03-01,3,7,316079.76927499997,2013,3,3,250642.81105,250642.81105
2013-03-01,3,9,1199311.228,2013,3,3,1143518.0482,1143518.0482
2013-03-01,4,1,236178.06091105263,2013,3,3,230806.96257342107,230806.96257342107
2013-03-01,4,2,182867.26779833334,2013,3,3,167344.3632564706,167344.3632564706
2013-03-01,4,3,230797.09055,2013,3,3,235384.701,235384.701
2013-03-01,4,4,230901.98609666666,2013,3,3,223830.2287275,223830.2287275
2013-03-01,4,5,292563.2488285714,2013,3,3,297190.7938476191,297190.7938476191
2013-03-01,4,6,462753.8507666667,2013,3,3,400596.194,400596.194
2013-03-01,4,7,349408.808586,2013,3,3,342029.53464739583,342029.53464739583
2013-03-01,4,8,172002.192155,2013,3,3,169908.62419416668,169908.62419416668
2013-03-01,4,9,184723.79804181817,2013,3,3,185081.99355695455,185081.99355695455
2013-03-01,4,10,252345.54359999998,2013,3,3,244722.796385,244722.796385
2013-03-01,5,1,666021.7375227272,2013,3,3,597021.4647177273,597021.4647177273
2013-03-01,5,2,362916.9385333333,2013,3,3,347266.93293333333,347266.93293333333
2013-03-01,5,4,578686.250498,2013,3,3,666598.87745,666598.87745
2013-03-01,5,5,168923.2238,2013,3,3,127123.7707,127123.7707
2013-03-01,5,6,443321.7425333333,2013,3,3,377826.70325,377826.70325
2013-03-01,5,7,354002.9262,2013,3,3,327821.8644,327821.8644
2013-03-01,5,8,518473.1480333333,2013,3,3,464968.4118666667,464968.4118666667
2013-03-01,5,9,733576.5881,2013,3,3,698861.2194000001,698861.2194000001
2013-03-01,5,10,613496.06740000006,2013,3,3,550422.2833,550422.2833
2013-03-01,6,1,21865386.35718,2013,3,3,20316350.86204,20316350.86204
2013-03-01,7,1,249341.802657,2013,3,3,256329.96812805557,256329.96812805557
2013-03-01,7,2,202435.6265,2013,3,3,232211.46518357145,232211.46518357145
2013-03-01,7,3,254596.669035,2013,3,3,537356.12845,537356.12845
2013-03-01,7,4,493358.07869999995,2013,3,3,479766.6840125,479766.6840125
2013-03-01,7,5,444812.3006757143,2013,3,3,442087.9924864286,442087.9924864286
2013-03-01,7,6,194049.1364,2013,3,3,177583.16095,177583.16095
2013-03-01,7,7,291502.248394,2013,3,3,338154.00295625,338154.00295625
2013-03-01,7,8,264478.02046666667,2013,3,3,267277.67058333335,267277.67058333335
2013-03-01,7,9,258288.91719,2013,3,3,321007.80334999994,321007.80334999994
2013-03-01,7,10,232852.164955,2013,3,3,211236.31952916668,211236.31952916668
2013-03-01,8,1,615700.99079,2013,3,3,662932.789555,662932.789555
2013-03-01,8,2,328981.99385,2013,3,3,268411.45218333334,268411.45218333334
2013-03-01,8,3,649865.2194000001,2013,3,3,706864.304125,706864.304125
2013-03-01,8,4,339373.85068333335,2013,3,3,292796.9504781667,292796.9504781667
2013-03-01,8,5,280838.3382,2013,3,3,370101.16835,370101.16835
2013-03-01,8,6,363245.4201,2013,3,3,302154.18715,302154.18715
2013-03-01,8,7,663085.39685,2013,3,3,644322.256225,644322.256225
2013-03-01,8,8,344083.9441,2013,3,3,490138.628625,490138.628625
2013-03-01,8,9,318603.2592909091,2013,3,3,318735.3132590909,318735.3132590909
2013-03-01,8,10,193036.944575,2013,3,3,181874.47871250001,181874.47871250001
2013-03-01,9,1,124336.2179,2013,3,3,86289.378375,86289.378375
2013-03-01,9,2,529166.1097864,2013,3,3,431268.0980589583,431268.0980589583
2013-03-01,9,3,432474.30206666666,2013,3,3,419020.51795833337,419020.51795833337
2013-03-01,9,4,2003529.485,2013,3,3,1710724.449525,1710724.449525
2013-03-01,9,7,567435.27365,2013,3,3,463561.73167500005,463561.73167500005
2013-03-01,10,1,73336.90168000001,2013,3,3,75973.7828425,75973.7828425
